ik,n,t,eps,lam_1s,E0eff_1s,lam
18,7,0.548387,0.7469489443,0.0005263317599013105,0.34648303206027936,0.0005263317599013105
18,8,0.548387,0.8610479375,0.0004100974307360528,0.329741497304195,0.0004100974307360528
19,1,0.580645,-0.0343714386,0.008814000031656407,0.59307464622784,0.008814000031656407
19,2,0.580645,0.2993792635,0.0024781468690998694,0.47814424027502805,0.0024781468690998694
19,3,0.580645,0.4290292218,0.00110428740545775,0.39822668168760883,0.00110428740545775
19,4,0.580645,0.4782303544,0.0009857539059865304,0.3908951085714403,0.0009857539059865304
19,5,0.580645,0.5670502328,0.0010294963727058679,0.40122519134870827,0.0010294963727058679
19,6,0.580645,0.6280651587,0.0008953491875920005,0.39463903438375414,0.0008953491875920005
19,7,0.580645,0.7529183252,0.0005115716017357975,0.3441522097632418,0.0005115716017357975
19,8,0.580645,0.8717708507,0.00040655920781295626,0.32980109559690896,0.00040655920781295626
20,1,0.612903,-0.0280079095,0.00854210621339114,0.5899781046185222,0.00854210621339114
20,2,0.612903,0.2829547075,0.0026587203470817516,0.4846807556078088,0.0026587203470817516
20,3,0.612903,0.4238167524,0.0011278335365375526,0.4000441455516486,0.0011278335365375526
20,4,0.612903,0.4742372708,0.001008668278446106,0.39302592710860185,0.001008668278446106
20,5,0.612903,0.5612168236,0.0010500537996430415,0.40289235671776663,0.0010500537996430415
20,6,0.612903,0.6287410593,0.000911589525142075,0.3966998824949748,0.000911589525142075
20,7,0.612903,0.7594303451,0.0004965403122890415,0.34173331484763364,0.0004965403122890415
20,8,0.612903,0.882177115,0.00040403997407584177,0.3300914492321077,0.00040403997407584177
21,1,0.645161,-0.0213587549,0.008265059259701609,0.5867106192835396,0.008265059259701609
21,2,0.645161,0.2669724728,0.002847504321136637,0.4910839037465433,0.002847504321136637
21,3,0.645161,0.4189897183,0.001149861940340273,0.40170705010617785,0.001149861940340273
21,4,0.645161,0.470478309,0.001030176934354591,0.39497506131476445,0.001030176934354591
21,5,0.645161,0.5558471012,0.0010692992185537763,0.4044233550457409,0.0010692992185537763
21,6,0.645161,0.6296290292,0.0009276072251639189,0.39869956816162555,0.0009276072251639189
21,7,0.645161,0.7664352994,0.0004812289500398176,0.339206341705538,0.0004812289500398176
21,8,0.645161,0.8919909308,0.00040175823092504476,0.33041414601472924,0.00040175823092504476
22,1,0.677419,-0.0144502066,0.007982896537534248,0.5832526760116865,0.007982896537534248
22,2,0.677419,0.2514830981,0.003044476928839758,0.4973536081149526,0.003044476928839758
22,3,0.677419,0.4145576292,0.0011702765161083649,0.40321663176249956,0.0011702765161083649
22,4,0.677419,0.4669781241,0.0010501642413690065,0.3967439225302778,0.0010501642413690065
22,5,0.677419,0.5509419999,0.0010871453374004482,0.40581759167615933,0.0010871453374004482
22,6,0.677419,0.6306785374,0.0009432474843037989,0.40061924522231634,0.0009432474843037989
22,7,0.677419,0.7738782196,0.00046579855197357775,0.3365970885912477,0.00046579855197357775
22,8,0.677419,0.9008647103,0.00039845724590684335,0.33046764477653173,0.00039845724590684335
23,1,0.709677,-0.0073187348,0.007697360385513009,0.5796078685924313,0.007697360385513009
23,2,0.709677,0.2365426715,0.003249582012579371,0.5034989096426846,0.003249582012579371
23,3,0.709677,0.4105284704,0.0011890399254618766,0.40458097400058146,0.0011890399254618766
23,4,0.709677,0.4637576561,0.0010685589816454074,0.3983392509599053,0.0010685589816454074
23,5,0.709677,0.5465022852,0.0011035590361071269,0.4070816542979074,0.0011035590361071269
23,6,0.709677,0.6318391764,0.0009583793672655153,0.4024462488832087,0.0009583793672655153
23,7,0.709677,0.7816947701,0.00045032305735455153,0.33391002450725665,0.00045032305735455153
23,8,0.709677,0.9084032964,0.00039211845440857327,0.32974670573892734,0.00039211845440857327
24,1,0.741935,-1.57599e-05,0.007409869021801631,0.575774040409605,0.007409869021801631
24,2,0.741935,0.2222185408,0.003462542492352376,0.5095198071818879,0.003462542492352376
24,3,0.741935,0.4069087916,0.001206097773136767,0.40580454406839106,0.001206097773136767
24,4,0.741935,0.4608348839,0.0010852920515517371,0.3997659809417964,0.0010852920515517371
24,5,0.741935,0.5425285768,0.0011184909794137194,0.4082186814575549,0.0011184909794137194
24,6,0.741935,0.6330607894,0.0009728415465562213,0.40416481153191164,0.0009728415465562213
24,7,0.741935,0.789805956,0.00043491270937051044,0.3311599636016638,0.00043491270937051044
24,8,0.741935,0.9142516835,0.0003807215248199322,0.3276888060095878,0.0003807215248199322
25,1,0.774194,0.0073855401,0.007121210991314072,0.5717373241767364,0.007121210991314072
25,2,0.774194,0.2085964775,0.003682709904121944,0.5154079715101377,0.003682709904121944
25,3,0.774194,0.4037038675,0.0012213151201541867,0.4068800108472653,0.0012213151201541867
25,4,0.774194,0.4582246322,0.0011002313777439094,0.40101818612219037,0.0011002313777439094
25,5,0.774194,0.5390212728,0.0011318170411717646,0.4092201545026872,0.0011318170411717646
25,6,0.774194,0.6342930672,0.000986385424766167,0.40574732873199654,0.000986385424766167
25,7,0.774194,0.7981093564,0.0004196964126360947,0.3283671886000179,0.0004196964126360947
25,8,0.774194,0.918243129,0.000363693741066254,0.32397628136167783,0.000363693741066254
26,1,0.806452,0.0147787133,0.00683445628844109,0.5675188182195907,0.00683445628844109
26,2,0.806452,0.1957938233,0.0039087152626139515,0.5211472657459735,0.0039087152626139515
