r_bohr,u_c,V_H_c
1.05200,7.76477589e-07,9.50570342e-01
1.05400,7.50924297e-07,9.48766603e-01
1.05600,7.26210853e-07,9.46969697e-01
1.05800,7.02309695e-07,9.45179584e-01
1.06000,6.79194165e-07,9.43396226e-01
1.06200,6.56838478e-07,9.41619586e-01
1.06400,6.35217694e-07,9.39849624e-01
1.06600,6.14307690e-07,9.38086304e-01
1.06800,5.94085133e-07,9.36329588e-01
1.07000,5.74527455e-07,9.34579439e-01
1.07200,5.55612829e-07,9.32835821e-01
1.07400,5.37320141e-07,9.31098696e-01
1.07600,5.19628970e-07,9.29368030e-01
1.07800,5.02519565e-07,9.27643785e-01
1.08000,4.85972822e-07,9.25925926e-01
1.08200,4.69970263e-07,9.24214418e-01
1.08400,4.54494016e-07,9.22509225e-01
1.08600,4.39526796e-07,9.20810313e-01
1.08800,4.25051883e-07,9.19117647e-01
1.09000,4.11053107e-07,9.17431193e-01
1.09200,3.97514826e-07,9.15750916e-01
1.09400,3.84421915e-07,9.14076782e-01
1.09600,3.71759740e-07,9.12408759e-01
1.09800,3.59514150e-07,9.10746812e-01
1.10000,3.47671459e-07,9.09090909e-01
1.10200,3.36218429e-07,9.07441016e-01
1.10400,3.25142254e-07,9.05797101e-01
1.10600,3.14430551e-07,9.04159132e-01
1.10800,3.04071343e-07,9.02527076e-01
1.11000,2.94053045e-07,9.00900901e-01
1.11200,2.84364452e-07,8.99280576e-01
1.11400,2.74994729e-07,8.97666068e-01
1.11600,2.65933393e-07,8.96057348e-01
1.11800,2.57170308e-07,8.94454383e-01
1.12000,2.48695670e-07,8.92857143e-01
1.12200,2.40499996e-07,8.91265597e-01
1.12400,2.32574114e-07,8.89679715e-01
1.12600,2.24909155e-07,8.88099467e-01
1.12800,2.17496539e-07,8.86524823e-01
1.13000,2.10327970e-07,8.84955752e-01
1.13200,2.03395422e-07,8.83392226e-01
1.13400,1.96691134e-07,8.81834215e-01
1.13600,1.90207599e-07,8.80281690e-01
1.13800,1.83937558e-07,8.78734622e-01
1.14000,1.77873989e-07,8.77192982e-01
1.14200,1.72010101e-07,8.75656743e-01
1.14400,1.66339326e-07,8.74125874e-01
1.14600,1.60855312e-07,8.72600349e-01
1.14800,1.55551915e-07,8.71080139e-01
1.15000,1.50423194e-07,8.69565217e-01
1.15200,1.45463403e-07,8.68055556e-01
1.15400,1.40666982e-07,8.66551127e-01
1.15600,1.36028558e-07,8.65051903e-01
1.15800,1.31542932e-07,8.63557858e-01
1.16000,1.27205076e-07,8.62068966e-01
1.16200,1.23010128e-07,8.60585198e-01
1.16400,1.18953385e-07,8.59106529e-01
1.16600,1.15030299e-07,8.57632933e-01
1.16800,1.11236471e-07,8.56164384e-01
1.17000,1.07567647e-07,8.54700855e-01
1.17200,1.04019713e-07,8.53242321e-01
1.17400,1.00588690e-07,8.51788756e-01
1.17600,9.72707299e-08,8.50340136e-01
1.17800,9.40621108e-08,8.48896435e-01
1.18000,9.09592333e-08,8.47457627e-01
1.18200,8.79586165e-08,8.46023689e-01
1.18400,8.50568938e-08,8.44594595e-01
1.18600,8.22508093e-08,8.43170320e-01
1.18800,7.95372143e-08,8.41750842e-01
1.19000,7.69130634e-08,8.40336134e-01
1.19200,7.43754116e-08,8.38926174e-01
1.19400,7.19214106e-08,8.37520938e-01
1.19600,6.95483058e-08,8.36120401e-01
1.19800,6.72534332e-08,8.34724541e-01
1.20000,6.50342165e-08,8.33333333e-01
1.20200,6.28881640e-08,8.31946755e-01
1.20400,6.08128662e-08,8.30564784e-01
1.20600,5.88059925e-08,8.29187396e-01
1.20800,5.68652893e-08,8.27814570e-01
